id1,name1,id2,name2,match,ranking,surface,previous,winner
sr:competitor:152804,Vondrousova Marketa,sr:competitor:19704,Martic Petra,sr:match:18083033,0.516,0.477,1.0,1
sr:competitor:19704,Martic Petra,sr:competitor:41193,Gasparyan Margarita,sr:match:18080331,0.466,0.4,0.5,0
sr:competitor:152804,Vondrousova Marketa,sr:competitor:18430,Strycova Barbora,sr:match:18078441,0.504,0.407,0.0,0
sr:competitor:66968,Kudermetova Veronika,sr:competitor:41193,Gasparyan Margarita,sr:match:18072347,0.513,0.432,1.0,1
sr:competitor:19704,Martic Petra,sr:competitor:33593,Mladenovic Kristina,sr:match:18072203,0.465,0.469,0.5,0
sr:competitor:46448,Arruabarrena-Vecino Lara,sr:competitor:152804,Vondrousova Marketa,sr:match:18071481,0.574,0.595,1.0,1
sr:competitor:18430,Strycova Barbora,sr:competitor:186312,Rybakina Elena,sr:match:18065315,0.402,0.545,0.5,0
sr:competitor:66968,Kudermetova Veronika,sr:competitor:43102,Babos Timea,sr:match:18052903,0.447,0.386,0.5,0
sr:competitor:48583,Kozlova Kateryna,sr:competitor:33593,Mladenovic Kristina,sr:match:18061699,0.503,0.504,0.5,1
sr:competitor:19704,Martic Petra,sr:competitor:41355,Bogdan Ana,sr:match:18061499,0.397,0.48,0.0,0
sr:competitor:18352,Kuznetsova Svetlana,sr:competitor:152804,Vondrousova Marketa,sr:match:18061627,0.545,0.569,0.0,1
sr:competitor:18939,Parmentier Pauline,sr:competitor:186312,Rybakina Elena,sr:match:18052901,0.427,0.545,0.5,1
sr:competitor:46448,Arruabarrena-Vecino Lara,sr:competitor:75281,Peterson Rebecca,sr:match:18050715,0.554,0.552,0.0,0
sr:competitor:41193,Gasparyan Margarita,sr:competitor:19833,Buzarnescu Mihaela,sr:match:18049573,0.533,0.584,0.5,0
sr:competitor:18430,Strycova Barbora,sr:competitor:19728,Cirstea Sorana,sr:match:18051895,0.447,0.532,0.5,0
sr:competitor:48583,Kozlova Kateryna,sr:competitor:234150,Potapova Anastasia,sr:match:18038267,0.484,0.48,1.0,0
sr:competitor:18457,Flipkens Kirsten,sr:competitor:41355,Bogdan Ana,sr:match:18038265,0.429,0.621,0.0,1
sr:competitor:33593,Mladenovic Kristina,sr:competitor:192108,Yastremska Dayana,sr:match:18025879,0.522,0.508,0.5,0
sr:competitor:152804,Vondrousova Marketa,sr:competitor:34486,Tomljanovic Ajla,sr:match:18025869,0.497,0.365,0.5,0
sr:competitor:18939,Parmentier Pauline,sr:competitor:19038,Rodina Evgeniya,sr:match:18025873,0.497,0.444,0.5,0
sr:competitor:65950,Sakkari Maria,sr:competitor:66968,Kudermetova Veronika,sr:match:18038269,0.464,0.496,0.5,1
sr:competitor:20354,Buyukakcay Cagla,sr:competitor:18352,Kuznetsova Svetlana,sr:match:18025867,0.657,0.525,0.5,1
sr:competitor:20805,Suarez-Navarro Carla,sr:competitor:46448,Arruabarrena-Vecino Lara,sr:match:18025863,0.413,0.463,1.0,1
sr:competitor:129534,Kuzmova Viktoria,sr:competitor:18430,Strycova Barbora,sr:match:18037967,0.503,0.464,0.5,1
sr:competitor:43550,Glushko Julia,sr:competitor:19833,Buzarnescu Mihaela,sr:match:18038273,0.607,0.635,1.0,1
sr:competitor:43102,Babos Timea,sr:competitor:77993,Jorovic Ivana,sr:match:18038271,0.527,0.56,1.0,0
sr:competitor:186312,Rybakina Elena,sr:competitor:72376,Siniakova Katerina,sr:match:18038263,0.593,0.477,0.5,0
sr:competitor:19728,Cirstea Sorana,sr:competitor:52183,Bara Irina Maria,sr:match:18038261,0.428,0.506,0.5,0
sr:competitor:19704,Martic Petra,sr:competitor:110299,Zidansek Tamara,sr:match:18025877,0.458,0.54,0.5,0
sr:competitor:19444,Larsson Johanna,sr:competitor:41193,Gasparyan Margarita,sr:match:18025881,0.542,0.433,0.0,1
sr:competitor:75281,Peterson Rebecca,sr:competitor:20347,Ozgen Pemra,sr:match:18025865,0.312,0.42,0.0,0
sr:competitor:77993,Jorovic Ivana,sr:competitor:61606,Sizikova Yana,sr:match:18025807,0.198,0.477,0.5,0
sr:competitor:43102,Babos Timea,sr:competitor:186312,Rybakina Elena,sr:match:18025887,0.49,0.62,0.5,1
sr:competitor:48583,Kozlova Kateryna,sr:competitor:35835,Dulgheru Alexandra,sr:match:18025507,0.382,0.508,0.333,0
sr:competitor:43550,Glushko Julia,sr:competitor:52183,Bara Irina Maria,sr:match:18025509,0.471,0.619,0.5,1
sr:competitor:66968,Kudermetova Veronika,sr:competitor:66480,Di Giuseppe Martina,sr:match:18025381,0.409,0.487,0.5,0
sr:competitor:61606,Sizikova Yana,sr:competitor:52229,Kovinic Danka,sr:match:18019517,0.718,0.553,0.5,0
sr:competitor:43102,Babos Timea,sr:competitor:54203,Haas Barbara,sr:match:18019523,0.442,0.618,0.0,0
sr:competitor:41281,Ivakhnenko Valentyna,sr:competitor:186312,Rybakina Elena,sr:match:18019525,0.611,0.502,0.0,1
sr:competitor:150574,Bondar Anna,sr:competitor:41355,Bogdan Ana,sr:match:18019529,0.562,0.465,0.5,1
sr:competitor:52183,Bara Irina Maria,sr:competitor:23082,Rodionova Arina,sr:match:18019521,0.442,0.293,0.5,0
sr:competitor:41287,Mrdeza Tereza,sr:competitor:35835,Dulgheru Alexandra,sr:match:18019513,0.505,0.506,1.0,1
sr:competitor:48583,Kozlova Kateryna,sr:competitor:134342,Cengiz Berfu,sr:match:18019511,0.234,0.516,0.5,0
sr:competitor:66480,Di Giuseppe Martina,sr:competitor:41374,Tomova Viktoriya,sr:match:18019509,0.494,0.528,0.5,0
sr:competitor:66968,Kudermetova Veronika,sr:competitor:166124,Olmos Giuliana,sr:match:18019507,0.218,0.182,0.5,0
sr:competitor:90814,Teichmann Jil,sr:competitor:85077,Muchova Karolina,sr:match:18143271,0.513,0.486,0.5,0
sr:competitor:18430,Strycova Barbora,sr:competitor:90814,Teichmann Jil,sr:match:18137885,0.453,0.553,0.5,1
sr:competitor:67757,Pera Bernarda,sr:competitor:85077,Muchova Karolina,sr:match:18137487,0.541,0.467,0.0,1
sr:competitor:90814,Teichmann Jil,sr:competitor:69988,Korpatsch Tamara,sr:match:18126245,0.442,0.51,1.0,0
sr:competitor:18430,Strycova Barbora,sr:competitor:72376,Siniakova Katerina,sr:match:18128133,0.495,0.522,0.333,0
sr:competitor:85077,Muchova Karolina,sr:competitor:90654,Vikhlyantseva Natalia,sr:match:18126619,0.46,0.48,0.5,0
sr:competitor:67757,Pera Bernarda,sr:competitor:45846,Wang Qiang,sr:match:18122007,0.598,0.437,1.0,0
sr:competitor:18430,Strycova Barbora,sr:competitor:44834,Pegula Jessica,sr:match:18115643,0.468,0.516,0.5,0
sr:competitor:38964,Cepelova Jana,sr:competitor:72376,Siniakova Katerina,sr:match:18114743,0.666,0.539,1.0,1
sr:competitor:90654,Vikhlyantseva Natalia,sr:competitor:234150,Potapova Anastasia,sr:match:18116827,0.532,0.496,0.5,0
sr:competitor:52273,Brady Jennifer,sr:competitor:85077,Muchova Karolina,sr:match:18116603,0.507,0.585,0.5,1
sr:competitor:18352,Kuznetsova Svetlana,sr:competitor:90814,Teichmann Jil,sr:match:18116693,0.502,0.528,0.5,1
sr:competitor:61408,Lottner Antonia,sr:competitor:67757,Pera Bernarda,sr:match:18116545,0.542,0.553,0.5,1
sr:competitor:69988,Korpatsch Tamara,sr:competitor:46304,Schmiedlova Anna-Karolina,sr:match:18116141,0.553,0.458,1.0,0
sr:competitor:19057,Minella Mandy,sr:competitor:45846,Wang Qiang,sr:match:18115465,0.582,0.472,0.0,1
sr:competitor:19361,Pliskova Kristyna,sr:competitor:90654,Vikhlyantseva Natalia,sr:match:18083319,0.494,0.506,0.0,1
sr:competitor:19833,Buzarnescu Mihaela,sr:competitor:18352,Kuznetsova Svetlana,sr:match:18083309,0.44,0.47,0.5,1
sr:competitor:90814,Teichmann Jil,sr:competitor:67759,Alexandrova Ekaterina,sr:match:18114511,0.529,0.433,0.5,0
sr:competitor:105463,Bouzkova Marie,sr:competitor:61408,Lottner Antonia,sr:match:18114529,0.463,0.511,0.5,1
sr:competitor:85077,Muchova Karolina,sr:competitor:274013,Swiatek Iga,sr:match:18114539,0.471,0.577,0.5,0
sr:competitor:67757,Pera Bernarda,sr:competitor:54203,Haas Barbara,sr:match:18114519,0.429,0.47,0.0,0
sr:competitor:69988,Korpatsch Tamara,sr:competitor:41524,Krunic Aleksandra,sr:match:18114483,0.578,0.424,1.0,0
sr:competitor:234150,Potapova Anastasia,sr:competitor:19788,Sevastova Anastasija,sr:match:18083321,0.569,0.563,0.5,0
sr:competitor:58515,Collins Danielle Rose,sr:competitor:52273,Brady Jennifer,sr:match:18083315,0.449,0.413,0.0,1
sr:competitor:18430,Strycova Barbora,sr:competitor:42839,Barthel Mona,sr:match:18105385,0.455,0.471,0.571,0
sr:competitor:19057,Minella Mandy,sr:competitor:69208,Paolini Jasmine,sr:match:18114501,0.389,0.488,0.5,0
sr:competitor:44834,Pegula Jessica,sr:competitor:19579,Petkovic Andrea,sr:match:18083303,0.503,0.425,1.0,0
sr:competitor:18860,Voegele Stefanie,sr:competitor:38964,Cepelova Jana,sr:match:18083305,0.385,0.473,0.5,1
sr:competitor:41193,Gasparyan Margarita,sr:competitor:45846,Wang Qiang,sr:match:18083313,0.545,0.539,0.5,1
sr:competitor:52533,Jakupovic Dalila,sr:competitor:72376,Siniakova Katerina,sr:match:18083307,0.562,0.508,1.0,1
sr:competitor:105463,Bouzkova Marie,sr:competitor:54203,Haas Barbara,sr:match:18089103,0.434,0.534,0.5,1
sr:competitor:69208,Paolini Jasmine,sr:competitor:61408,Lottner Antonia,sr:match:18088935,0.553,0.494,1.0,1
sr:competitor:274013,Swiatek Iga,sr:competitor:69988,Korpatsch Tamara,sr:match:18088933,0.458,0.447,0.5,0
sr:competitor:90814,Teichmann Jil,sr:competitor:42656,Allertova Denisa,sr:match:18088705,0.217,0.442,0.5,0
sr:competitor:46304,Schmiedlova Anna-Karolina,sr:competitor:129534,Kuzmova Viktoria,sr:match:18083311,0.549,0.516,0.5,0
sr:competitor:105463,Bouzkova Marie,sr:competitor:103375,Serban Raluca Georgiana,sr:match:18082973,0.387,0.552,0.5,0
sr:competitor:274013,Swiatek Iga,sr:competitor:48486,Gorgodze Ekaterine,sr:match:18083009,0.442,0.422,0.5,0
sr:competitor:54203,Haas Barbara,sr:competitor:115507,Bolsova Zadoinov Aliona,sr:match:18083011,0.549,0.535,1.0,0
sr:competitor:46461,Smitkova Tereza,sr:competitor:69208,Paolini Jasmine,sr:match:18082933,0.414,0.561,1.0,1
sr:competitor:44211,Gatto-Monticone Giulia,sr:competitor:69988,Korpatsch Tamara,sr:match:18082943,0.518,0.539,0.5,1
sr:competitor:59702,Haddad Maia Beatriz,sr:competitor:90814,Teichmann Jil,sr:match:18082921,0.538,0.518,0.333,1
sr:competitor:61408,Lottner Antonia,sr:competitor:179146,Kalinskaya Anna,sr:match:18082825,0.477,0.551,0.5,0
sr:competitor:42656,Allertova Denisa,sr:competitor:51977,Flink Varvara,sr:match:18082779,0.724,0.599,0.5,0
sr:competitor:274013,Swiatek Iga,sr:competitor:48699,Grymalska Anastassia,sr:match:18079815,0.326,0.415,0.5,0
sr:competitor:54203,Haas Barbara,sr:competitor:71034,Sramkova Rebecca,sr:match:18079827,0.489,0.499,0.5,0
sr:competitor:105463,Bouzkova Marie,sr:competitor:142996,Mihalikova Tereza,sr:match:18079823,0.233,0.521,0.5,0
sr:competitor:166124,Olmos Giuliana,sr:competitor:44211,Gatto-Monticone Giulia,sr:match:18079819,0.694,0.803,0.5,1
sr:competitor:48318,Martincova Tereza,sr:competitor:103375,Serban Raluca Georgiana,sr:match:18079825,0.421,0.581,0.5,1
sr:competitor:69988,Korpatsch Tamara,sr:competitor:87834,Hon Priscilla,sr:match:18079821,0.511,0.469,0.5,0
sr:competitor:90814,Teichmann Jil,sr:competitor:41374,Tomova Viktoriya,sr:match:18079841,0.415,0.501,0.5,0
sr:competitor:59702,Haddad Maia Beatriz,sr:competitor:72378,Stefkova Barbora,sr:match:18079839,0.385,0.444,0.5,0
sr:competitor:46461,Smitkova Tereza,sr:competitor:115477,Zarycka Anastasia,sr:match:18079831,0.394,0.596,1.0,0
sr:competitor:61606,Sizikova Yana,sr:competitor:61408,Lottner Antonia,sr:match:18079835,0.746,0.557,0.5,1
sr:competitor:66480,Di Giuseppe Martina,sr:competitor:51977,Flink Varvara,sr:match:18079845,0.52,0.568,0.5,1
sr:competitor:42656,Allertova Denisa,sr:competitor:40142,Ormaechea Paula,sr:match:18079843,0.665,0.546,0.5,0
sr:competitor:179146,Kalinskaya Anna,sr:competitor:25066,McHale Christina,sr:match:18079837,0.561,0.404,0.5,0
sr:competitor:50687,van Uytvanck Alison,sr:competitor:152804,Vondrousova Marketa,sr:match:17462471,0.505,0.582,1.0,0
sr:competitor:234150,Potapova Anastasia,sr:competitor:152804,Vondrousova Marketa,sr:match:17458383,0.538,0.588,0.5,1
sr:competitor:50687,van Uytvanck Alison,sr:competitor:67759,Alexandrova Ekaterina,sr:match:17458807,0.491,0.491,0.5,0
sr:competitor:50687,van Uytvanck Alison,sr:competitor:48583,Kozlova Kateryna,sr:match:17453125,0.483,0.475,0.5,0
sr:competitor:234150,Potapova Anastasia,sr:competitor:19728,Cirstea Sorana,sr:match:17443073,0.489,0.332,0.5,0
sr:competitor:152804,Vondrousova Marketa,sr:competitor:35838,Begu Irina-Camelia,sr:match:17451827,0.431,0.297,0.5,0
sr:competitor:18939,Parmentier Pauline,sr:competitor:67759,Alexandrova Ekaterina,sr:match:17450685,0.507,0.533,0.667,1
sr:competitor:19610,Brengle Madison,sr:competitor:48583,Kozlova Kateryna,sr:match:17442801,0.532,0.579,0.0,1
sr:competitor:50687,van Uytvanck Alison,sr:competitor:274013,Swiatek Iga,sr:match:17442343,0.446,0.583,0.5,0
sr:competitor:152804,Vondrousova Marketa,sr:competitor:192130,Blinkova Anna,sr:match:17441889,0.421,0.394,0.0,0
sr:competitor:35838,Begu Irina-Camelia,sr:competitor:19038,Rodina Evgeniya,sr:match:17440733,0.545,0.479,0.0,0
sr:competitor:19847,Rus Arantxa,sr:competitor:67759,Alexandrova Ekaterina,sr:match:17440515,0.571,0.543,0.75,1
sr:competitor:18939,Parmentier Pauline,sr:competitor:46461,Smitkova Tereza,sr:match:17429737,0.441,0.506,0.5,0
sr:competitor:19728,Cirstea Sorana,sr:competitor:41524,Krunic Aleksandra,sr:match:17431627,0.526,0.6,0.5,0
sr:competitor:157672,Stollar Fanny,sr:competitor:19610,Brengle Madison,sr:match:17395119,0.551,0.584,0.5,1
sr:competitor:50687,van Uytvanck Alison,sr:competitor:18298,Zvonareva Vera,sr:match:17395117,0.47,0.458,0.5,0
sr:competitor:152804,Vondrousova Marketa,sr:competitor:41480,Garcia Perez Georgina,sr:match:17419933,0.363,0.381,0.5,0
sr:competitor:19579,Petkovic Andrea,sr:competitor:234150,Potapova Anastasia,sr:match:17419573,0.487,0.558,0.5,1
sr:competitor:19606,Arn Greta,sr:competitor:67759,Alexandrova Ekaterina,sr:match:17419931,0.808,0.563,0.5,1
sr:competitor:42839,Barthel Mona,sr:competitor:35838,Begu Irina-Camelia,sr:match:17395135,0.472,0.474,1.0,1
sr:competitor:19728,Cirstea Sorana,sr:competitor:150574,Bondar Anna,sr:match:17395131,0.4,0.463,0.5,0
sr:competitor:192130,Blinkova Anna,sr:competitor:90654,Vikhlyantseva Natalia,sr:match:17419935,0.509,0.504,0.5,0
sr:competitor:46461,Smitkova Tereza,sr:competitor:54259,Bonaventure Ysaline,sr:match:17419929,0.508,0.53,0.0,0
sr:competitor:19038,Rodina Evgeniya,sr:competitor:41374,Tomova Viktoriya,sr:match:17427359,0.396,0.502,0.75,0
sr:competitor:211262,Danilovic Olga,sr:competitor:274013,Swiatek Iga,sr:match:17419927,0.523,0.738,1.0,1
sr:competitor:48583,Kozlova Kateryna,sr:competitor:19444,Larsson Johanna,sr:match:17395121,0.462,0.438,0.5,0
sr:competitor:69988,Korpatsch Tamara,sr:competitor:41524,Krunic Aleksandra,sr:match:17395133,0.578,0.571,0.5,1
sr:competitor:19847,Rus Arantxa,sr:competitor:65656,Ferro Fiona,sr:match:17395125,0.541,0.421,0.0,0
sr:competitor:234150,Potapova Anastasia,sr:competitor:41404,Watson Heather,sr:match:17395129,0.472,0.334,0.5,0
sr:competitor:90654,Vikhlyantseva Natalia,sr:competitor:23082,Rodionova Arina,sr:match:17396373,0.391,0.405,0.5,0
sr:competitor:19579,Petkovic Andrea,sr:competitor:41355,Bogdan Ana,sr:match:17395127,0.438,0.495,0.5,0
sr:competitor:133662,Badosa Gibert Paula,sr:competitor:19606,Arn Greta,sr:match:17397887,0.269,0.486,0.5,1
sr:competitor:41480,Garcia Perez Georgina,sr:competitor:69208,Paolini Jasmine,sr:match:17395551,0.471,0.428,1.0,0
sr:competitor:54259,Bonaventure Ysaline,sr:competitor:90814,Teichmann Jil,sr:match:17393063,0.529,0.366,0.5,0
sr:competitor:274013,Swiatek Iga,sr:competitor:41374,Tomova Viktoriya,sr:match:17394859,0.431,0.277,0.5,0
sr:competitor:46461,Smitkova Tereza,sr:competitor:48318,Martincova Tereza,sr:match:17392973,0.47,0.466,0.5,0
sr:competitor:23082,Rodionova Arina,sr:competitor:179146,Kalinskaya Anna,sr:match:17390211,0.543,0.493,0.5,0
sr:competitor:19606,Arn Greta,sr:competitor:48486,Gorgodze Ekaterine,sr:match:17390219,0.705,0.408,0.5,0
sr:competitor:69208,Paolini Jasmine,sr:competitor:46528,Perrin Conny,sr:match:17390231,0.569,0.574,0.5,0
sr:competitor:87834,Hon Priscilla,sr:competitor:41480,Garcia Perez Georgina,sr:match:17390229,0.453,0.531,1.0,1
sr:competitor:90654,Vikhlyantseva Natalia,sr:competitor:97995,Galfi Dalma,sr:match:17390209,0.324,0.424,0.0,0
sr:competitor:272217,Wang Xinyu,sr:competitor:41374,Tomova Viktoriya,sr:match:17390227,0.65,0.465,0.5,1
sr:competitor:274013,Swiatek Iga,sr:competitor:52489,Schoofs Bibiane,sr:match:17390225,0.443,0.393,0.5,0
sr:competitor:52303,Lemoine Quirine,sr:competitor:90814,Teichmann Jil,sr:match:17390215,0.64,0.465,0.5,1
sr:competitor:54259,Bonaventure Ysaline,sr:competitor:186312,Rybakina Elena,sr:match:17390213,0.478,0.532,0.5,0
sr:competitor:71034,Sramkova Rebecca,sr:competitor:48318,Martincova Tereza,sr:match:17390223,0.543,0.518,0.667,1
sr:competitor:46461,Smitkova Tereza,sr:competitor:52229,Kovinic Danka,sr:match:17390221,0.439,0.259,1.0,0
sr:competitor:43102,Babos Timea,sr:competitor:51293,Svitolina Elina,sr:match:7271215,0.622,0.659,1.0,1
sr:competitor:51293,Svitolina Elina,sr:competitor:46304,Schmiedlova Anna-Karolina,sr:match:7267825,0.414,0.436,1.0,0
sr:competitor:33593,Mladenovic Kristina,sr:competitor:43102,Babos Timea,sr:match:7267581,0.435,0.385,0.0,1
sr:competitor:46304,Schmiedlova Anna-Karolina,sr:competitor:18730,Bacsinszky Timea,sr:match:7262401,0.497,0.534,0.0,0
sr:competitor:33593,Mladenovic Kristina,sr:competitor:46448,Arruabarrena-Vecino Lara,sr:match:7262445,0.445,0.459,0.5,0
sr:competitor:46448,Arruabarrena-Vecino Lara,sr:competitor:45136,Puig Monica,sr:match:7257605,0.557,0.459,0.5,0
sr:competitor:19520,Maria Tatjana,sr:competitor:18730,Bacsinszky Timea,sr:match:7257611,0.464,0.588,1.0,1
sr:competitor:25066,McHale Christina,sr:competitor:51293,Svitolina Elina,sr:match:7257297,0.613,0.609,0.0,1
sr:competitor:50776,Muguruza Garbine,sr:competitor:33593,Mladenovic Kristina,sr:match:7257219,0.456,0.471,0.5,1
sr:competitor:50687,van Uytvanck Alison,sr:competitor:45136,Puig Monica,sr:match:7252767,0.488,0.432,0.5,1
sr:competitor:19038,Rodina Evgeniya,sr:competitor:18730,Bacsinszky Timea,sr:match:7237099,0.473,0.611,1.0,1
sr:competitor:50641,Vekic Donna,sr:competitor:51293,Svitolina Elina,sr:match:7237093,0.518,0.619,1.0,1
sr:competitor:50776,Muguruza Garbine,sr:competitor:132370,Kasatkina Daria,sr:match:7237079,0.498,0.488,0.5,0
sr:competitor:18939,Parmentier Pauline,sr:competitor:37508,Siegemund Laura,sr:match:7252769,0.46,0.554,0.5,1
sr:competitor:48284,Witthoeft Carina,sr:competitor:19520,Maria Tatjana,sr:match:7237097,0.73,0.472,0.5,1
sr:competitor:43102,Babos Timea,sr:competitor:42839,Barthel Mona,sr:match:7237087,0.543,0.546,1.0,0
sr:competitor:46448,Arruabarrena-Vecino Lara,sr:competitor:38411,Nara Kurumi,sr:match:7237083,0.392,0.434,0.5,0
sr:competitor:46304,Schmiedlova Anna-Karolina,sr:competitor:25071,Soler-Espinosa Silvia,sr:match:7237095,0.354,0.477,0.5,0
sr:competitor:37508,Siegemund Laura,sr:competitor:44210,Kostova Elitsa,sr:match:7236725,0.341,0.414,0.0,0
sr:competitor:52735,Arcangioli Manon,sr:competitor:33049,Rogowska Olivia,sr:match:7236565,0.736,0.566,0.5,1
sr:competitor:18350,Voracova Renata,sr:competitor:19329,Radwanska Urszula,sr:match:7236469,0.692,0.604,1.0,1
sr:competitor:50687,van Uytvanck Alison,sr:competitor:60392,Sorribes Tormo Sara,sr:match:7236253,0.476,0.514,0.5,0
sr:competitor:19934,Riske Alison,sr:competitor:37508,Siegemund Laura,sr:match:7235137,0.447,0.636,0.5,1
sr:competitor:33049,Rogowska Olivia,sr:competitor:41278,Zanevska Maryna,sr:match:7235159,0.514,0.45,1.0,0
sr:competitor:54259,Bonaventure Ysaline,sr:competitor:24431,Panova Alexandra,sr:match:7235143,0.209,0.511,0.5,0
sr:competitor:19057,Minella Mandy,sr:competitor:60392,Sorribes Tormo Sara,sr:match:7235155,0.526,0.501,0.5,1
sr:competitor:91960,Kenin Sofia,sr:competitor:46304,Schmiedlova Anna-Karolina,sr:match:16784003,0.445,0.428,0.0,0
sr:competitor:91960,Kenin Sofia,sr:competitor:18808,Cornet Alize,sr:match:16768343,0.484,0.445,1.0,0
sr:competitor:46304,Schmiedlova Anna-Karolina,sr:competitor:63957,Bencic Belinda,sr:match:16774931,0.577,0.561,1.0,0
sr:competitor:46304,Schmiedlova Anna-Karolina,sr:competitor:35838,Begu Irina-Camelia,sr:match:16760183,0.479,0.465,0.4,0
sr:competitor:192108,Yastremska Dayana,sr:competitor:63957,Bencic Belinda,sr:match:16760111,0.526,0.478,0.667,1
sr:competitor:110803,Minnen Greet,sr:competitor:18808,Cornet Alize,sr:match:16763805,0.599,0.4,0.5,1
sr:competitor:91960,Kenin Sofia,sr:competitor:18457,Flipkens Kirsten,sr:match:16760371,0.477,0.46,0.5,0
sr:competitor:18939,Parmentier Pauline,sr:competitor:18808,Cornet Alize,sr:match:16682559,0.512,0.533,0.5,1
sr:competitor:42289,Linette Magda,sr:competitor:110803,Minnen Greet,sr:match:16691335,0.432,0.599,0.5,1
sr:competitor:91960,Kenin Sofia,sr:competitor:55401,Jabeur Ons,sr:match:16690185,0.481,0.405,0.5,0
sr:competitor:80773,Hives Zoe,sr:competitor:63957,Bencic Belinda,sr:match:16688047,0.689,0.49,0.5,1
sr:competitor:35838,Begu Irina-Camelia,sr:competitor:192130,Blinkova Anna,sr:match:16682549,0.49,0.597,0.5,0
sr:competitor:144202,Lapko Vera,sr:competitor:192108,Yastremska Dayana,sr:match:16665947,0.545,0.518,0.75,1
sr:competitor:129534,Kuzmova Viktoria,sr:competitor:18457,Flipkens Kirsten,sr:match:16682715,0.483,0.403,1.0,1
